Technique,Description,Example,ArticleType,Keywords,Do,DoNot
専門用語の扱い,略語の初出時に説明を添える,GEO（Generative Engine Optimization）つまりAI検索時代のSEOのようなもの,IT専門インサイト系,専門用語 説明 略語 初出 分かりやすく,読者層のレベルに合わせた説明深度,専門用語だらけで一般読者を排除
Before/After対比,読む前と読んだ後を明確に対比する,読む前: DDDの用語は知ってるけど使いこなせない → 読んだ後: 実際のプロジェクトで適用できる,IT技術解説系,Before After 対比 読む前 読んだ後,テーブル形式で対比を明示,対比が曖昧
悪い例→良い例セット,ダメなパターンを先に見せてから良い例を示す,❌「営業：この機能こういう仕様で」→ ✅「全員：契約顧客=契約済みの法人」,IT技術解説系,悪い例 良い例 ❌ ✅ 対比,コード例にはコメントで理由を付ける,良い例だけ提示（対比がない）
ツッコミ挿入,読者の心の声を代弁するツッコミを入れる,「……教科書かよ。」「ちょっと引くわ」と思った？うん私も今振り返ると引いてる,IT技術解説系,ツッコミ 心の声 代弁 共感,読者が思いそうなことを先に言う,ツッコミが多すぎる
メタファー変換,抽象的技術概念を誰でも分かる絵に変換,マルチエージェントシステム → 戦国軍制（上様→将軍→家老→足軽）,Zenn技術記事系,メタファー 変換 比喩 分かりやすく 構造図,日本人なら全員知っているメタファーを選ぶ,マイナーすぎる比喩
神回エピソード形式,技術解説を「事件」として語る,神回①：自己デバッグ事件 — 問題発生→AI自身が分析→解決提案,Zenn技術記事系,神回 エピソード 事件 発見 解決,状況→AIの行動→結果→学びの4点セット,淡々とした機能説明
一言スローガン,記事の本質を一文に凝縮,One human. One command. Eight agents.,Zenn技術記事系,スローガン 一言 凝縮 SNS 拡散,SNSでシェアしたくなる短い一文,長い説明文
淡々とした狂気描写,大変さを強調せず事実だけを述べる,「朝4時まで一緒に探した」（大変さを強調せず事実だけ）,ファン感情系,淡々 狂気 事実 さすらい,具体的時間+行動だけで狂気を際立たせる,「とても大変でした」と感想を述べる
過剰な形容,対象を過剰に修飾してユーモアを生む,「やたら顔がいい」「あまりにも顔が良くて声も良くて背も高かった」,ファン感情系,過剰 形容 やたら あまりにも 強調,口語的な強調語を使う（やたら・めちゃくちゃ・ガチの）,書き言葉的な過剰表現
口語的表現,書き言葉を口語に変換,✗「私は非常に感動いたしました」→ ✓「めちゃくちゃ感動した」,全般,口語 話し言葉 縮約 終助詞,縮約形（〜てる）・終助詞（ね・よ・さ）を活用,堅すぎる書き言葉
接続詞テクニック,因果・逆接・並列・例示・要約を使い分ける,因果: なぜなら / 逆接: しかし・ところが / 例示: たとえば / 要約: つまり,全般,接続詞 因果 逆接 並列 転換,適切な接続詞で論理的なつながりを作る,接続詞なしで段落が孤立
反論予防,読者が持ちそうな反対意見に先回りする,「AI生成そのものは否定しない」（限界を認めて信頼性増加）,IT専門インサイト系,反論 予防 先回り 限界 例外,主張の限界を認める。複数の視点を考慮,独断的な主張
